RT_title,mpaa_kid,mpaa_adult,cast1,cast2,cast3,imdb_title,year,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Ravenous,1,0,Guy Pearce,Robert Carlyle,Jeremy Davies,Ravenous,1999,108,12000000,6.7,5915,13.5,48.0,53.5,0,0,1,1,0,0,0
The Real Cancun,1,0,"Benjamin ""Fletch"" Fletcher",Nicole Frilot,Roxanne Frilot,Real Cancun The,2003,96,8000000,2.8,1504,64.5,18.0,13.5,0,0,0,0,1,0,0
Real Women Have Curves,1,0,America Ferrera,Lupe Ontiveros,Ingrid Oliu,Real Women Have Curves,2002,87,3000000,7,1944,13.5,48.0,53.5,0,0,1,1,0,0,0
Recess: School's Out,1,0,Rickey D'Shon Collins,Jason Davis,Ashley Johnson,Recess Schools Out,2001,82,10000000,6,512,13.5,48.0,33.5,0,1,1,0,0,0,0
Red Dragon,1,0,Anthony Hopkins,Edward Norton,Ralph Fiennes,Red Dragon,2002,124,90000000,7.3,21089,13.5,48.0,63.5,0,0,0,0,0,0,0
Red Planet,1,0,Val Kilmer,Carrie-Anne Moss,Tom Sizemore,Red Planet,2000,106,75000000,5.3,8623,13.5,68.0,13.5,1,0,0,0,0,0,0
Red Rock West,1,0,Nicolas Cage,Dennis Hopper,Lara Flynn Boyle,Red Rock West,1992,98,8000000,7,3861,13.5,48.0,43.5,0,0,0,0,0,0,0
Red Scorpion,1,0,Dolph Lundgren,M. Emmet Walsh,Al White,Red Scorpion,1989,98,16000000,3.6,711,43.5,38.0,13.5,1,0,0,0,0,0,0
Red Sonja,1,0,Brigitte Nielsen,Arnold Schwarzenegger,Sandahl Bergman,Red Sonja,1985,89,17900000,4.3,3947,23.5,48.0,13.5,1,0,0,0,0,0,0
Reds,1,0,Warren Beatty,Diane Keaton,Edward Herrmann,Reds,1981,194,35000000,7.1,2394,13.5,38.0,53.5,0,0,0,1,0,1,0
The Ref,1,0,Denis Leary,Judy Davis,Kevin Spacey,Ref The,1994,93,11000000,6.8,4791,13.5,48.0,53.5,0,0,1,0,0,0,0
Reign of Fire,1,0,Christian Bale,Matthew McConaughey,Izabella Scorupco,Reign of Fire,2002,101,95000000,5.8,11452,13.5,68.0,23.5,1,0,0,0,0,0,0
Reindeer Games (Deception),1,0,Ben Affleck,Gary Sinise,Charlize Theron,Reindeer Games,2000,124,36000000,5.5,7120,13.5,68.0,13.5,1,0,0,1,0,0,0
The Relic,1,0,Penelope Ann Miller,Tom Sizemore,Linda Hunt,Relic The,1997,110,40000000,5.3,5102,13.5,58.0,13.5,0,0,0,0,0,0,0
The Remains of the Day,1,0,Anthony Hopkins,Emma Thompson,James Fox,Remains of the Day The,1993,134,15000000,7.8,10310,13.5,28.0,73.5,0,0,0,1,0,1,0
Rembrandt (Stealing Rembrandt),1,0,Lars Brygmann,Jakob Cedergren,Nicolas Bro,Rembrandt,2003,109,3000000,6.8,416,13.5,48.0,33.5,1,0,1,0,0,0,0
Remember the Titans,1,0,Denzel Washington,Will Patton,Donald Faison,Remember the Titans,2000,113,30000000,7.4,14195,13.5,38.0,53.5,0,0,0,1,0,0,0
Renaissance Man (Army Intelligence) (By the Book),1,0,Danny DeVito,Gregory Hines,James Remar,Renaissance Man,1994,128,40000000,5.7,3196,13.5,68.0,23.5,0,0,1,1,0,0,0
The Replacement Killers,1,0,Yun-Fat Chow,Mira Sorvino,Michael Rooker,Replacement Killers The,1998,87,30000000,5.8,6825,13.5,68.0,23.5,1,0,0,0,0,0,0
The Replacements,1,0,Keanu Reeves,Gene Hackman,Orlando Jones,Replacements The,2000,114,50000000,6.2,7617,13.5,58.0,23.5,0,0,1,0,0,0,0
Repli-Kate,1,0,James Roday,Ali Landry,Eugene Levy,RepliKate,2002,121,4000000,5.6,791,13.5,48.0,23.5,0,0,1,0,0,0,0
Repo Man,1,0,Harry Dean Stanton,Emilio Estevez,Olivia Barash,Repo Man,1984,92,1500000,6.8,4954,13.5,38.0,53.5,1,0,1,0,0,0,0
Requiem for a Dream,1,0,Ellen Burstyn,Jared Leto,Jennifer Connelly,Requiem for a Dream,2000,102,4500000,8.4,47845,13.5,18.0,83.5,0,0,0,1,0,0,0
Reservoir Dogs,1,0,Harvey Keitel,Tim Roth,Michael Madsen,Reservoir Dogs,1992,99,1200000,8.3,69240,13.5,28.0,73.5,0,0,0,0,0,0,0
Resident Evil,1,0,Milla Jovovich,Oscar Pearce,Indra Ove,Resident Evil,2002,100,35000000,6.2,18978,13.5,48.0,33.5,1,0,0,0,0,0,0
Resident Evil - Apocalypse,1,0,Milla Jovovich,Sienna Guillory,Oded Fehr,Resident Evil Apocalypse,2004,94,50000000,5.6,10486,13.5,48.0,33.5,1,0,0,0,0,0,0
Restoration,1,0,Robert Downey Jr.,Sam Neill,David Thewlis,Restoration,1995,117,18000000,6.6,1874,13.5,58.0,23.5,0,0,0,1,0,0,0
Resurrection Man,1,0,Stuart Townsend,Geraldine O'Rawe,James Nesbitt,Resurrection Man,1998,102,4000000,4.6,214,13.5,58.0,23.5,0,0,0,1,0,0,0
Return of the Living Dead 3,1,0,Mindy Clarke,J. Trevor Edmond,Kent McCord,Return of the Living Dead 3,1993,97,2000000,5.3,1386,13.5,48.0,33.5,0,0,0,0,0,0,0
Return of the Living Dead Part II,1,0,James Karen,Thom Matthews,Michael Kenworthy,Return of the Living Dead Part II,1988,86,6200000,4.8,1275,13.5,58.0,13.5,0,0,1,0,0,0,0
The Return of the Living Dead,1,0,Clu Gulager,James Karen,Don Calfa,Return of the Living Dead The,1985,91,4000000,6.7,3344,13.5,38.0,53.5,0,0,1,0,0,0,0
Return to Me,1,0,David Duchovny,Minnie Driver,James Belushi,Return to Me,2000,115,24000000,6.9,5057,13.5,48.0,53.5,0,0,1,1,0,1,0
Return to Never Land,1,0,Harriet Owen,Blayne Weaver,Corey Burton,Return to Never Land,2002,72,20000000,5.8,988,13.5,58.0,13.5,0,1,0,0,0,0,0
Return to Oz,1,0,Nicol Williamson,Jean Marsh,Fairuza Balk,Return to Oz,1985,113,27000000,6.3,2225,13.5,48.0,53.5,0,0,0,0,0,0,0
Return With Honor,1,0,[],[],[],Return with Honor,1998,102,1000000,8.5,91,9.0,9.0,93.5,0,0,0,0,1,0,0
Revelation (Apocalypse II: Revelation),1,0,Carol Alt,Jeff Fahey,Nick Mancuso,Revelation,1999,98,5000000,4.5,203,13.5,28.0,43.5,1,0,0,1,0,0,0
Revenge of the Nerds,1,0,Robert Carradine,Anthony Edwards,Ted McGinley,Revenge of the Nerds,1984,90,8000000,6,6007,13.5,68.0,23.5,0,0,1,0,0,0,0
Revolution,1,0,Al Pacino,Donald Sutherland,Nastassja Kinski,Revolution,1985,126,28000000,4.6,937,23.5,58.0,13.5,0,0,0,0,0,0,0
Rhapsody in Bloom,1,0,Penelope Ann Miller,Ron Silver,Craig Sheffer,Rhapsody in Bloom,1998,92,2200000,6.2,104,13.5,58.0,23.5,0,0,0,1,0,1,0
Rich in Love,1,0,Albert Finney,Jill Clayburgh,Kathryn Erbe,Rich in Love,1993,105,18000000,6,216,13.5,48.0,23.5,0,0,0,1,0,0,0
Riders (Steal),1,0,Stephen Dorff,Natasha Henstridge,Bruce Payne,Riders,2002,83,15000000,5.1,922,13.5,58.0,13.5,1,0,0,0,0,0,0
Riding in Cars with Boys,1,0,Drew Barrymore,Steve Zahn,Brittany Murphy,Riding in Cars with Boys,2001,132,48000000,6.2,4627,13.5,58.0,23.5,0,0,1,1,0,0,0
Riding the Bullet,1,0,Jonathan Jackson,David Arquette,Cliff Robertson,Riding the Bullet,2004,98,5000000,5.2,438,13.5,58.0,23.5,0,0,0,0,0,0,0
The Right Stuff,1,0,Sam Shepard,Scott Glenn,Ed Harris,Right Stuff The,1983,193,27000000,7.9,12907,13.5,28.0,73.5,0,0,0,1,0,0,0
The Ring,1,0,Naomi Watts,Martin Henderson,David Dorfman,Ring The,2002,115,45000000,7.4,30687,13.5,28.0,53.5,0,0,0,1,0,0,0
Ringu (Ring),1,0,Nanako Matsushima,Hiroyuki Sanada,Miki Nakatani,Ringu,1998,96,1200000,7.4,8091,13.5,38.0,53.5,0,0,0,0,0,0,0
Ripley's Game,1,0,John Malkovich,Dougray Scott,Ray Winstone,Ripleys Game,2002,112,30000000,6.6,2680,13.5,68.0,23.5,0,0,0,1,0,0,0
Risky Business,1,0,Tom Cruise,Rebecca De Mornay,Curtis Armstrong,Risky Business,1983,98,6200000,6.7,8622,13.5,68.0,23.5,0,0,1,0,0,0,0
The River Wild,1,0,Meryl Streep,Kevin Bacon,David Strathairn,River Wild The,1994,111,45000000,6.1,4942,13.5,68.0,23.5,1,0,0,1,0,0,0
River's Edge,1,0,Crispin Glover,Keanu Reeves,Ione Skye,Rivers Edge,1986,99,1700000,7.1,2139,13.5,48.0,53.5,0,0,0,1,0,0,0
Road Trip,1,0,Breckin Meyer,Seann William Scott,Amy Smart,Road Trip,2000,94,15600000,6.3,15981,13.5,48.0,23.5,0,0,1,0,0,0,0
The Road to El Dorado,1,0,Kevin Kline,Kenneth Branagh,Rosie Perez,Road to El Dorado The,2000,89,95000000,6.3,2838,13.5,68.0,23.5,1,1,1,0,0,0,0
Road to Perdition,1,0,Tom Hanks,Paul Newman,Jude Law,Road to Perdition,2002,117,80000000,7.7,30526,13.5,28.0,53.5,0,0,0,1,0,0,0
Roar,1,0,Tippi Hedren,Noel Marshall,John Marshall,Roar,1981,102,17000000,5.3,72,19.0,38.0,43.5,0,0,0,0,0,0,0
Rob Roy,1,0,Liam Neeson,Jessica Lange,John Hurt,Rob Roy,1995,133,28000000,6.8,6652,13.5,48.0,43.5,1,0,0,1,0,1,0
Robin Hood: Prince of Thieves,1,0,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Robin Hood Prince of Thieves,1991,155,50000000,6.5,20286,13.5,48.0,23.5,1,0,0,1,0,1,0
Robo Vampire,1,0,Robin Mackay,Nian Watts,Harry Myles,Robo Vampire,1988,90,2500000,1.8,90,54.5,13.5,23.5,1,0,1,0,0,0,0
RoboCop,1,0,Peter Weller,Nancy Allen,Ronny Cox,RoboCop,1987,103,13000000,7.1,15974,13.5,48.0,53.5,1,0,0,0,0,0,0
Robocop 3,1,0,Robert John Burke,Nancy Allen,Rip Torn,RoboCop 3,1993,104,22000000,3.2,4519,53.5,38.0,13.5,1,0,0,0,0,0,0
Robot Jox,1,0,Gary Graham,Anne-Marie Johnson,Paul Koslo,Robot Jox,1990,85,10000000,3.9,592,43.5,38.0,23.5,0,0,0,0,0,0,0
Robots,1,0,Ewan McGregor,Halle Berry,Robin Williams,Robots,2005,91,75000000,6.4,4089,13.5,48.0,33.5,0,1,1,0,0,0,0
Rock Star,1,0,Mark Wahlberg,Jennifer Aniston,Timothy Olyphant,Rock Star,2001,105,38000000,5.8,5100,13.5,68.0,23.5,0,0,1,1,0,0,0
Rockula,1,0,Dean Cameron,Toni Basil,Tawny Fere,Rockula,1990,87,1500000,4.5,89,13.5,18.0,63.5,0,0,1,0,0,0,0
Rocky IV,1,0,Sylvester Stallone,Talia Shire,Burt Young,Rocky IV,1985,91,31000000,5.3,11503,13.5,58.0,23.5,1,0,0,1,0,0,0
Rogue Trader,1,0,Ewan McGregor,Anna Friel,Yves Beneyton,Rogue Trader,1999,101,12800000,6.1,1379,13.5,68.0,23.5,0,0,0,1,0,0,0
Le roi danse (The King Is Dancing),1,0,Benoit Magimel,Boris Terral,Tcheky Karyo,Roi danse Le,2000,115,21000000,5.9,422,13.5,58.0,33.5,0,0,0,1,0,0,0
High Tension (Switchblade Romance),1,0,Cecile De France,Maiwenn Le Besco,Philippe Nahon,Roma,2004,155,2763806,7.5,105,13.5,38.0,63.5,0,0,0,1,0,0,0
Romeo + Juliet,1,0,Leonardo DiCaprio,Claire Danes,John Leguizamo,Romeo  Juliet,1996,120,14500000,6.7,22306,13.5,38.0,43.5,1,0,0,1,0,1,0
Romeo Must Die,1,0,Aaliyah,Anthony Anderson,Edoardo Ballerini,Romeo Must Die,2000,115,25000000,5.8,10229,13.5,68.0,23.5,1,0,0,1,0,0,0
Ronin,1,0,Robert De Niro,Jean Reno,Natascha McElhone,Ronin,1998,121,55000000,7,21982,13.5,48.0,43.5,1,0,0,0,0,0,0
The Rookie,1,0,Dennis Quaid,Rachel Griffiths,Jay Hernandez,Rookie The,2002,127,24000000,7.2,5135,13.5,48.0,53.5,0,0,0,1,0,0,0
A Room With A View,1,0,Maggie Smith,Helena Bonham Carter,Denholm Elliott,Room with a View A,1985,117,3000000,7.4,6369,13.5,28.0,63.5,0,0,1,1,0,1,0
Enron: The Smartest Guys in the Room,1,0,Peter Coyote,Amanda Martin-Brock,Andrew Fastow,Room The,2003,99,6000000,2.7,81,39.0,9.0,54.5,0,0,1,1,0,1,0
Roommates,1,0,Peter Falk,D.B. Sweeney,Julianne Moore,Roommates,1995,108,22000000,6.1,456,13.5,48.0,43.5,0,0,1,1,0,0,0
Rosewood,1,0,Jon Voight,Ving Rhames,Don Cheadle,Rosewood,1997,140,31000000,6.8,1840,13.5,48.0,53.5,1,0,0,1,0,0,0
Rounders,1,0,Matt Damon,Edward Norton,John Turturro,Rounders,1998,121,12000000,7.2,13621,13.5,48.0,53.5,0,0,0,1,0,0,0
Route 666,1,0,Lou Diamond Phillips,Lori Petty,Alex McArthur,Route 666,2001,86,2300000,4,487,43.5,48.0,13.5,1,0,0,0,0,0,0
The Royal Tenenbaums,1,0,Danny Glover,Gene Hackman,Gwyneth Paltrow,Royal Tenenbaums The,2001,111,21000000,7.6,31227,13.5,28.0,53.5,0,0,1,1,0,0,0
Rugrats Go Wild,1,0,Bruce Willis,Chrissie Hynde,Nancy Cartwright,Rugrats Go Wild,2003,81,25000000,4.8,423,23.5,48.0,23.5,0,1,1,0,0,0,0
The Rugrats Movie,1,0,Elizabeth Daily,Christine Cavanaugh,Kath Soucie,Rugrats Movie The,1998,79,28000000,5.4,1455,13.5,48.0,23.5,0,1,1,0,0,0,0
The Rules of Attraction,1,0,James Van Der Beek,Ian Somerhalder,Shannyn Sossamon,Rules of Attraction The,2002,110,4000000,6.7,8552,13.5,38.0,53.5,0,0,1,1,0,1,0
Rules of Engagement,1,0,Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,Rules of Engagement,2000,128,60000000,6.3,7903,13.5,68.0,23.5,0,0,0,1,0,0,0
Rumble Fish,1,0,Matt Dillon,Mickey Rourke,Diane Lane,Rumble Fish,1983,94,10000000,6.8,3354,13.5,48.0,53.5,0,0,0,1,0,0,0
Rumpelstiltskin,1,0,Kim Johnston-Ulrich,Tommy Blaze,Allyce Beasley,Rumpelstiltskin,1996,87,3000000,3,265,63.5,28.0,13.5,0,0,0,0,0,0,0
Runaway Bride,1,0,Julia Roberts,Richard Gere,Joan Cusack,Runaway Bride,1999,116,70000000,5.4,12624,13.5,68.0,13.5,0,0,1,0,0,1,0
Runaway Jury,1,0,John Cusack,Gene Hackman,Dustin Hoffman,Runaway Jury,2003,127,60000000,7.1,10761,13.5,58.0,33.5,0,0,0,1,0,0,0
The Rundown (Welcome to the Jungle),1,0,"Dwayne ""The Rock"" Johnson",Seann William Scott,Rosario Dawson,Rundown The,2003,104,85000000,6.5,8067,13.5,58.0,23.5,1,0,1,0,0,0,0
Running Brave,1,0,Robby Benson,Pat Hingle,Claudia Cron,Running Brave,1983,106,8000000,6.1,156,13.5,48.0,53.5,0,0,0,0,0,0,0
The Running Man,1,0,Arnold Schwarzenegger,Maria Conchita Alonso,Richard Dawson,Running Man The,1987,101,27000000,6.2,11847,13.5,68.0,23.5,1,0,0,0,0,0,0
Rush Hour,1,0,Jackie Chan,Chris Tucker,Tom Wilkinson,Rush Hour,1998,93,35000000,6.7,18336,13.5,58.0,33.5,1,0,1,0,0,0,0
Rush Hour 2,1,0,Jackie Chan,Chris Tucker,John Lone,Rush Hour 2,2001,86,90000000,6.5,16581,13.5,48.0,23.5,1,0,1,0,0,0,0
Rushmore,1,0,Jason Schwartzman,Bill Murray,Olivia Williams,Rushmore,1998,93,10000000,7.7,22209,13.5,28.0,73.5,0,0,1,1,0,1,0
S.W.A.T.,1,0,Samuel L. Jackson,Colin Farrell,Michelle Rodriguez,SWAT,2003,117,80000000,5.9,12732,13.5,68.0,23.5,1,0,0,0,0,0,0
Sabrina,1,0,Harrison Ford,Julia Ormond,Greg Kinnear,Sabrina,1995,127,58000000,6.1,7547,13.5,68.0,23.5,0,0,1,1,0,1,0
Safe Men,1,0,Sam Rockwell,Steve Zahn,Paul Giamatti,Safe Men,1998,88,1000000,6.1,590,13.5,38.0,43.5,0,0,1,0,0,0,0
Sahara,1,0,Brooke Shields,Lambert Wilson,Horst Buchholz,Sahara,1983,111,25000000,3.5,157,43.5,38.0,23.5,0,0,0,1,0,0,0
Sahara,1,0,Matthew McConaughey,Steve Zahn,Penelope Cruz,Sahara,2005,124,130000000,5.8,3004,13.5,48.0,33.5,1,0,1,0,0,0,0
The Saint,1,0,Val Kilmer,Elisabeth Shue,Rade Serbedzija,Saint The,1997,116,70000000,5.7,12591,13.5,58.0,23.5,1,0,0,0,0,1,0
The Salton Sea,1,0,Val Kilmer,Vincent D'Onofrio,Adam Goldberg,Salton Sea The,2002,107,18000000,7.2,5070,13.5,48.0,53.5,0,0,0,1,0,0,0
Salvador,1,0,James Woods,James Belushi,Michael Murphy,Salvador,1986,123,4500000,7.4,2568,13.5,38.0,53.5,0,0,0,1,0,0,0
Samsara,1,0,Shawn Ku,Christy Chung,Neelesha Ba Vora,Samsara,2001,138,3000000,7.6,636,13.5,28.0,63.5,1,0,0,1,0,1,0
Sankofa,1,0,Mutabaruka,Afemo Omilami,Kofi Ghanaba,Sankofa,1993,125,1000000,5.9,106,13.5,18.0,73.5,0,0,0,1,0,0,0
Santa Claus - The Movie,1,0,David Huddleston,Dudley Moore,John Lithgow,Santa Claus,1985,107,50000000,4.7,983,13.5,58.0,23.5,0,0,0,0,0,0,0
The Santa Clause 2 - The Mrs. Clause,1,0,Tim Allen,Elizabeth Mitchell,David Krumholtz,Santa Clause 2 The,2002,105,60000000,5.8,2616,13.5,68.0,23.5,0,0,1,0,0,1,0
Savage,1,0,Olivier Gruner,Luke Askew,Jennifer Grant,Savage,1995,99,5000000,4.1,93,33.5,28.0,19.0,1,0,0,0,0,0,0
Save the Last Dance,1,0,Julia Stiles,Sean Patrick Thomas,Kerry Washington,Save the Last Dance,2001,112,13000000,6.1,7613,13.5,48.0,33.5,0,0,0,1,0,1,0
Saved!,1,0,Jena Malone,Mandy Moore,Macaulay Culkin,Saved,2004,92,5000000,7.1,6504,13.5,48.0,53.5,0,0,1,1,0,0,0
Saving Private Ryan,1,0,Tom Hanks,Edward Burns,Tom Sizemore,Saving Private Ryan,1998,170,70000000,8.3,100267,13.5,28.0,83.5,1,0,0,1,0,0,0
Savior,1,0,Dennis Quaid,Nastassja Kinski,Stellan Skarsgard,Savior,1998,104,10000000,7.2,1775,13.5,28.0,53.5,0,0,0,1,0,0,0
Saw II,1,0,Donnie Wahlberg,Tobin Bell,Shawnee Smith,Saw,2004,100,1200000,7.5,17191,13.5,28.0,63.5,0,0,0,0,0,0,0
Say It Isn't So,1,0,Chris Klein,Heather Graham,Orlando Jones,Say It Isnt So,2001,93,25000000,4.6,3144,23.5,58.0,13.5,0,0,1,0,0,1,0
Scanner Cop II (Scanners: The Showdown),1,0,Daniel Quinn,Patrick Kilpatrick,Khrystyne Haje,Scanner Cop II,1995,95,4000000,3.7,81,33.5,28.0,23.5,0,0,0,0,0,0,0
Scarface,1,0,Al Pacino,Steven Bauer,Michelle Pfeiffer,Scarface,1983,170,25000000,7.9,28300,13.5,28.0,83.5,0,0,0,1,0,0,0
The Scarlet Letter,1,0,Demi Moore,Gary Oldman,Robert Duvall,Scarlet Letter The,1995,135,50000000,4.4,2426,23.5,58.0,13.5,0,0,0,1,0,1,0
Scary Movie,1,0,Shawn Wayans,Marlon Wayans,Cheri Oteri,Scary Movie,2000,88,19000000,5.5,23293,13.5,48.0,23.5,0,0,1,0,0,0,0
Scary Movie 2,1,0,Shawn Wayans,Marlon Wayans,Anna Faris,Scary Movie 2,2001,83,45000000,4.2,12035,33.5,58.0,13.5,0,0,1,0,0,0,0
Scary Movie 3,1,0,Anna Faris,Anthony Anderson,Leslie Nielsen,Scary Movie 3,2003,84,45000000,5.3,9225,13.5,58.0,13.5,0,0,1,0,0,0,0
Schindler's List,1,0,Liam Neeson,Ben Kingsley,Ralph Fiennes,Schindlers List,1993,195,25000000,8.8,97667,13.5,18.0,83.5,0,0,0,1,0,0,0
School Daze,1,0,Laurence Fishburne,Giancarlo Esposito,Tisha Campbell,School Daze,1988,121,6500000,5.3,955,13.5,48.0,23.5,0,0,0,1,0,0,0
Scooby-Doo,1,0,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,ScoobyDoo,2002,86,84000000,4.8,9618,23.5,58.0,13.5,0,0,1,0,0,0,0
The Score,1,0,Robert De Niro,Edward Norton,Marlon Brando,Score The,2001,124,68000000,6.8,16106,13.5,58.0,33.5,0,0,0,1,0,0,0
The Scorpion King,1,0,"Dwayne ""The Rock"" Johnson",Steven Brand,Michael Clarke Duncan,Scorpion King The,2002,92,60000000,5.3,10111,13.5,68.0,13.5,1,0,0,0,0,0,0
Scream,1,0,Neve Campbell,Liev Schreiber,Courteney Cox,Scream,1996,111,15000000,7,43652,13.5,48.0,53.5,0,0,0,0,0,0,0
Scream 2,1,0,David Arquette,Neve Campbell,Courteney Cox,Scream 2,1997,120,24000000,5.9,21533,13.5,58.0,23.5,0,0,0,0,0,0,0
Scream 3,1,0,David Arquette,Neve Campbell,Courteney Cox,Scream 3,2000,116,40000000,5.4,15403,13.5,58.0,23.5,0,0,0,0,0,0,0
Screamers,1,0,Bruce Boa,Jason Cavalier,Roy Dupuis,Screamers,1995,108,11000000,5.6,2725,13.5,58.0,23.5,0,0,0,0,0,0,0
Screen Test,1,0,Michael Allan Bloom,Robert Bundy,Paul Leuken,Screen Test,1985,84,1000000,3.3,38,43.5,38.0,9.0,0,0,1,0,0,0,0
Screwed,1,0,Norm Macdonald,Dave Chappelle,Elaine Stritch,Screwed,2000,78,10000000,4.8,1592,13.5,58.0,13.5,0,0,1,0,0,0,0
Seven (Se7en),1,0,Brad Pitt,Morgan Freeman,Gwyneth Paltrow,Se7en,1995,127,30000000,8.4,88371,13.5,28.0,73.5,0,0,0,1,0,0,0
The Thing Below (Ghost Rig 2: The Legend of the Sea Ghost),1,0,Billy Warlock,Catherine Lough Haggquist,Colin Lawrence,Sea Ghost,2004,90,1500000,3.7,10,59.0,39.0,29.0,0,0,0,0,0,0,0
Seabiscuit,1,0,Tobey Maguire,Jeff Bridges,Chris Cooper,Seabiscuit,2003,141,86000000,7.5,11552,13.5,38.0,63.5,0,0,0,1,0,0,0
Search and Destroy,1,0,Griffin Dunne,Illeana Douglas,Dennis Hopper,Search and Destroy,1995,90,4000000,5,402,13.5,48.0,13.5,0,0,1,1,0,0,0
Secondhand Lions,1,0,Michael Caine,Robert Duvall,Haley Joel Osment,Secondhand Lions,2003,120,30000000,7.4,5543,13.5,28.0,63.5,0,0,1,1,0,0,0
The Secret Life of Girls,1,0,Linda Hamilton,Eugene Levy,Majandra Delfino,Secret Life of Girls The,1999,90,2500000,5,145,13.5,58.0,23.5,0,0,1,0,0,0,0
Secret Window,1,0,Johnny Depp,John Turturro,Maria Bello,Secret Window,2004,96,40000000,6.3,13260,13.5,68.0,23.5,0,0,0,1,0,0,0
Secrets & Lies,1,0,Brenda Blethyn,Marianne Jean-Baptiste,Phyllis Logan,Secrets  Lies,1996,136,4500000,7.9,7747,13.5,28.0,73.5,0,0,1,1,0,0,0
See Spot Run,1,0,David Arquette,Michael Clarke Duncan,Leslie Bibb,See Spot Run,2001,94,16000000,5,1193,13.5,58.0,13.5,0,0,1,0,0,0,0
Seed Of Chucky,1,0,Brad Dourif,Jennifer Tilly,Billy Boyd,Seed of Chucky,2004,87,12000000,5.1,1342,23.5,38.0,33.5,0,0,1,0,0,0,0
Selena,1,0,Jennifer Lopez,Edward James Olmos,Rebecca Lee Meza,Selena,1997,127,20000000,6.1,2870,13.5,38.0,43.5,0,0,0,1,0,0,0
Sense and Sensibility,1,0,Emma Thompson,Alan Rickman,Kate Winslet,Sense and Sensibility,1995,136,16500000,7.7,13904,13.5,28.0,63.5,0,0,1,1,0,1,0
Sensitive New-Age Killers,1,0,Paul Moder,Kevin Hopkins,Frank Bren,Sensitive NewAge Killer,2000,88,1000000,4.2,31,19.0,48.0,13.5,1,0,0,0,0,0,0
Serendipity,1,0,John Cusack,Kate Beckinsale,Molly Shannon,Serendipity,2001,90,28000000,6.6,10795,13.5,48.0,33.5,0,0,1,0,0,1,0
Serial Mom,1,0,Kathleen Turner,Sam Waterston,Ricki Lake,Serial Mom,1994,95,13000000,6.3,4750,13.5,58.0,33.5,0,0,1,0,0,0,0
The Serpent and the Rainbow,1,0,Bill Pullman,Cathy Tyson,Zakes Mokae,Serpent and the Rainbow The,1988,98,7000000,5.9,2166,13.5,68.0,23.5,0,0,0,0,0,0,0
The Serpent's Kiss,1,0,Ewan McGregor,Greta Scacchi,Pete Postlethwaite,Serpents Kiss The,1997,104,13000000,5.3,368,13.5,58.0,33.5,0,0,0,1,0,0,0
Serpent's Lair,1,0,Jeff Fahey,Heather Medway,Anthony Palermo,Serpents Lair,1995,90,4000000,4.1,118,33.5,48.0,23.5,0,0,0,0,0,0,0
Serving Sara,1,0,Matthew Perry,Elizabeth Hurley,Bruce Campbell,Serving Sara,2002,99,29000000,4.6,2990,13.5,68.0,13.5,0,0,1,0,0,1,0
Session 9,1,0,Peter Mullan,David Caruso,Stephen Gevedon,Session 9,2001,97,1500000,6.6,3718,13.5,38.0,53.5,0,0,0,1,0,0,0
Set It Off,1,0,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Set It Off,1996,123,9000000,6.1,1619,13.5,38.0,33.5,1,0,0,1,0,0,0
La Setta (The Devil's Daughter) (Demons 4) (The Sect),1,0,Michel Hans Adatte,Tomas Arana,Angelika Maria Boeck,Setta La,1991,112,2000000,5.7,184,13.5,48.0,43.5,0,0,0,0,0,0,0
Seven Years in Tibet,1,0,Brad Pitt,David Thewlis,B.D. Wong,Seven Years in Tibet,1997,139,70000000,6.6,9426,13.5,48.0,33.5,0,0,0,1,0,0,0
Sgt. Bilko,1,0,Steve Martin,Dan Aykroyd,Phil Hartman,Sgt Bilko,1996,93,39000000,5.1,3712,13.5,58.0,13.5,0,0,1,0,0,0,0
Shade,1,0,Stuart Townsend,Gabriel Byrne,Thandie Newton,Shade,2003,101,6800000,6.5,1616,13.5,48.0,33.5,0,0,0,1,0,0,0
The Shadow Conspiracy,1,0,Charlie Sheen,Donald Sutherland,Theodore Bikel,Shadow Conspiracy,1997,103,45000000,4.5,1078,23.5,58.0,13.5,1,0,0,0,0,0,0
Shadow of the Vampire,1,0,John Malkovich,Willem Dafoe,Cary Elwes,Shadow of the Vampire,2000,87,8000000,6.8,8366,13.5,48.0,43.5,0,0,1,1,0,0,0
The Shadow,1,0,Alec Baldwin,John Lone,Penelope Ann Miller,Shadow The,1994,108,40000000,5.2,3386,13.5,48.0,13.5,1,0,0,0,0,0,0
Shadows and Fog,1,0,Woody Allen,Mia Farrow,John Malkovich,Shadows and Fog,1992,85,14000000,6.3,2303,13.5,48.0,23.5,0,0,1,1,0,0,0
Shaft,1,0,Samuel L. Jackson,Vanessa L. Williams,Jeffrey Wright,Shaft,2000,99,46000000,6,13742,13.5,68.0,23.5,1,0,0,0,0,0,0
